10,17,7
8,14,15
15,5,5
17,7,13
6,6,15
9,1,11
15,11,16
11,5,3
1,9,9
8,1,9
17,6,11
13,3,12
8,17,11
3,7,12
4,12,9
4,13,11
8,9,3
7,13,15
9,16,14
16,6,12
6,16,7
17,11,7
5,15,11
5,4,13
13,9,2
16,12,11
6,14,10
2,8,13
12,11,4
9,1,10
3,8,9
3,14,13
7,15,5
6,10,16
8,13,17
10,17,8
8,4,11
5,14,9
11,9,3
2,7,10
14,9,5
6,6,14
14,7,16
15,3,7
11,11,17
16,12,14
9,12,4
3,16,10
6,4,10
4,4,15
5,3,11
6,15,6
10,16,5
10,11,1
16,6,13
14,3,11
10,12,2
14,14,10
12,16,7
15,14,13
15,9,4
2,10,7
8,18,10
4,3,9
16,6,6
1,8,10
5,9,14
5,9,16
6,7,16
4,14,12
17,11,10
3,10,6
12,4,4
5,12,15
9,10,1
14,15,4
13,3,8
12,6,4
16,13,7
7,16,7
9,10,16
17,5,6
5,3,10
2,12,14
6,3,14
8,3,15
6,17,12
13,3,5
12,4,14
7,10,18
15,4,10
3,11,5
8,4,17
10,9,4
3,9,14
9,4,2
14,17,8
17,10,12
4,4,4
2,7,7
8,13,16
11,14,6
9,4,15
3,5,13
4,10,12
8,6,3
1,11,13
14,14,4
12,3,11
6,3,4
13,3,6
11,15,10
8,1,7
11,7,2
8,5,3
4,15,10
7,3,8
17,10,6
7,14,5
12,17,8
15,12,9
1,7,10
17,15,9
7,10,17
10,7,15
8,11,17
8,15,3
8,15,14
7,12,5
4,8,14
4,14,6
15,7,4
1,10,11
10,5,5
7,14,14
2,7,9
4,8,3
7,2,8
8,6,4
4,16,12
17,8,12
9,7,16
12,14,4
4,4,9
11,10,18
9,8,2
5,13,15
8,5,15
3,7,15
3,11,4
6,4,15
9,6,3
11,7,16
11,18,6
10,3,5
17,9,10
6,8,17
14,5,6
12,13,16
12,3,12
4,5,6
15,14,8
16,8,4
16,9,6
10,1,11
9,10,17
3,13,8
12,13,2
11,3,7
12,1,8
10,12,15
4,6,7
10,12,17
15,8,13
13,16,6
14,8,4
16,9,12
14,5,13
17,10,10
2,9,6
11,9,2
9,2,7
16,7,6
12,15,6
12,5,12
11,5,15
8,8,1
16,7,13
15,16,11
6,3,9
14,10,16
7,3,4
9,3,7
13,12,2
9,16,13
11,8,2
4,11,15
14,14,14
8,12,2
10,16,13
8,6,15
4,8,4
11,3,4
16,13,8
9,2,10
11,12,3
4,15,12
9,18,10
6,3,10
7,4,5
12,3,8
16,11,14
4,9,14
3,5,12
17,6,6
1,12,9
3,7,13
8,16,8
12,2,12
5,6,6
13,14,3
12,3,13
12,13,3
3,5,9
16,5,12
8,15,15
14,13,14
9,15,7
17,12,8
5,11,3
10,14,16
10,15,14
5,12,5
12,16,12
8,2,9
8,12,3
7,13,4
16,6,5
16,7,12
9,17,9
10,2,14
16,5,10
5,16,14
5,5,7
10,2,12
5,16,11
12,13,4
7,17,10
4,14,5
10,1,10
5,13,6
16,8,10
8,16,12
2,10,8
15,5,12
5,15,13
3,12,12
17,8,8
7,9,3
14,14,11
12,12,18
15,6,13
8,7,2
2,8,11
14,11,2
3,13,7
15,7,15
5,7,4
13,13,3
15,8,16
16,12,5
6,7,4
2,10,6
3,6,11
3,11,15
3,11,16
12,17,12
9,4,5
4,7,4
5,16,8
5,10,13
12,15,3
8,4,14
17,10,5
6,14,4
13,10,16
3,5,7
6,3,8
13,3,7
14,10,17
7,2,11
4,4,7
3,12,7
9,9,2
17,6,13
16,12,9
10,8,16
16,8,7
11,7,17
6,4,13
