65|79
71|81
71|25
95|29
95|37
95|14
48|75
48|33
48|37
48|87
36|71
36|69
36|84
36|17
36|38
47|25
47|33
47|72
47|37
47|34
47|69
82|68
82|48
82|58
82|55
82|56
82|25
82|89
76|45
76|25
76|68
76|48
76|82
76|67
76|55
76|71
62|74
62|61
62|55
62|41
62|53
62|67
62|82
62|47
62|57
61|56
61|41
61|45
61|72
61|25
61|75
61|33
61|58
61|34
61|15
73|55
73|25
73|68
73|33
73|24
73|15
73|74
73|47
73|75
73|14
73|81
59|18
59|38
59|35
59|67
59|62
59|29
59|71
59|97
59|65
59|69
59|36
59|82
29|79
29|41
29|47
29|84
29|35
29|62
29|82
29|93
29|67
29|68
29|74
29|53
29|97
35|61
35|77
35|14
35|79
35|58
35|45
35|95
35|55
35|56
35|15
35|25
35|81
35|68
35|48
68|45
68|24
68|18
68|47
68|72
68|33
68|95
68|89
68|79
68|56
68|15
68|14
68|34
68|58
68|55
46|82
46|87
46|14
46|36
46|67
46|72
46|84
46|91
46|69
46|59
46|65
46|93
46|75
46|17
46|62
46|29
74|14
74|25
74|47
74|81
74|68
74|58
74|59
74|48
74|75
74|55
74|61
74|89
74|34
74|24
74|46
74|41
74|33
56|96
56|33
56|48
56|69
56|93
56|58
56|62
56|34
56|36
56|37
56|72
56|29
56|57
56|17
56|18
56|78
56|87
56|81
15|59
15|96
15|69
15|45
15|36
15|75
15|18
15|33
15|25
15|89
15|87
15|91
15|34
15|56
15|77
15|17
15|81
15|29
15|48
93|53
93|76
93|74
93|95
93|97
93|61
93|67
93|15
93|41
93|79
93|89
93|57
93|78
93|77
93|84
93|71
93|55
93|82
93|35
93|24
37|36
37|61
37|73
37|78
37|29
37|74
37|38
37|76
37|87
37|84
37|67
37|35
37|57
37|82
37|97
37|91
37|62
37|93
37|41
37|71
37|17
34|53
34|59
34|36
34|78
34|84
34|65
34|57
34|82
34|69
34|67
34|73
34|93
34|91
34|97
34|17
34|38
34|18
34|72
34|37
34|76
34|71
34|87
84|41
84|95
84|82
84|38
84|61
84|68
84|53
84|47
84|77
84|76
84|73
84|89
84|56
84|67
84|74
84|45
84|24
84|15
84|35
84|25
84|71
84|97
84|55
91|35
91|41
91|76
91|67
91|69
91|29
91|53
91|74
91|84
91|93
91|73
91|57
91|87
91|61
91|78
91|62
91|17
91|38
91|82
91|36
91|68
91|71
91|97
91|65
14|37
14|72
14|67
14|91
14|18
14|53
14|93
14|87
14|62
14|75
14|82
14|29
14|69
14|34
14|97
14|17
14|59
14|78
14|36
14|84
14|38
14|57
14|76
14|65
72|29
72|78
72|17
72|87
72|74
72|38
72|97
72|84
72|73
72|69
72|65
72|62
72|91
72|67
72|76
72|36
72|35
72|93
72|82
72|18
72|53
72|37
72|57
72|71
69|67
69|35
69|93
69|62
69|53
69|55
69|82
69|38
69|41
69|29
69|73
69|78
69|57
69|74
69|17
69|68
69|65
69|76
69|24
69|97
69|61
69|79
69|71
69|84
25|37
25|18
