departure location: 30-260 or 284-950
departure station: 29-856 or 863-974
departure platform: 32-600 or 611-967
departure track: 44-452 or 473-965
departure date: 36-115 or 129-950
departure time: 50-766 or 776-972
arrival location: 40-90 or 104-961
arrival station: 40-864 or 887-971
arrival platform: 32-920 or 932-964
arrival track: 45-416 or 427-959
class: 47-536 or 557-964
duration: 33-229 or 246-969
price: 25-147 or 172-969
route: 32-328 or 349-970
row: 50-692 or 709-964
seat: 49-292 or 307-964
train: 28-726 or 748-954
type: 37-430 or 438-950
wagon: 46-628 or 638-973
zone: 39-786 or 807-969

your ticket:
89,193,59,179,191,173,61,73,181,67,71,109,53,79,83,113,107,139,131,137

nearby tickets:
499,362,657,143,723,763,935,454,473,586,372,489,214,753,765,65,307,56,853,934
228,664,709,361,856,645,363,171,901,199,62,513,667,808,350,890,715,687,257,721
531,490,628,88,947,252,832,917,686,571,362,874,837,588,849,140,655,407,90,611
777,194,111,386,90,598,153,363,373,566,191,945,559,819,289,487,480,590,691,756
186,366,196,844,655,659,845,109,355,330,71,176,397,380,822,776,369,447,658,949
783,763,570,184,260,448,856,717,913,646,774,657,841,917,910,193,941,408,110,577
378,832,670,59,155,911,209,74,57,947,144,514,411,89,690,856,854,286,597,132
319,684,204,909,342,206,204,943,620,52,516,115,430,319,84,618,593,211,596,581
66,146,910,225,107,112,918,679,255,757,125,946,863,892,78,525,373,913,87,838
674,653,588,220,448,941,112,924,474,358,513,649,766,500,847,197,639,836,373,573
76,115,776,726,598,361,480,772,356,129,506,380,202,810,932,756,408,81,786,889
311,620,848,357,483,754,181,300,284,60,259,674,596,289,397,113,894,82,291,754
84,600,751,223,595,478,198,2,402,428,355,517,947,933,624,59,598,711,752,513
286,664,786,775,510,363,666,229,914,938,196,509,410,528,681,943,477,850,640,595
365,17,624,375,640,483,208,258,189,222,889,655,852,326,109,428,758,616,889,288
566,195,201,949,205,517,672,762,180,886,679,63,596,664,678,596,894,384,321,212
576,316,480,579,925,328,498,194,191,132,106,863,210,416,351,663,643,218,366,942
776,60,256,400,368,664,469,53,949,689,569,253,319,717,387,591,845,66,499,566
620,831,379,712,614,176,682,666,83,197,438,916,535,504,218,377,627,155,429,855
853,525,865,487,190,940,810,251,786,618,895,580,908,86,578,136,781,562,498,759
671,625,256,592,177,500,523,50,443,692,650,128,441,832,626,491,252,405,661,756
597,722,922,721,319,388,653,484,83,142,781,451,106,499,515,672,113,374,911,311
211,716,176,715,627,286,327,531,566,587,916,431,57,371,894,677,778,193,710,447
559,508,196,178,844,78,114,662,142,558,514,378,375,694,718,314,384,89,816,562
290,578,105,478,229,260,752,496,187,937,137,898,69,399,980,638,441,84,589,574
413,592,841,498,793,214,947,582,827,940,446,572,259,623,213,355,853,360,60,195
481,764,308,384,131,247,595,756,221,361,175,256,407,255,155,752,781,524,403,640
74,765,914,319,715,86,316,612,197,640,827,760,926,106,520,818,229,824,623,404
576,504,694,379,75,528,638,257,482,852,837,563,575,389,686,217,852,684,314,184
481,679,312,796,358,71,376,830,209,946,69,591,939,357,59,284,522,626,218,825
355,812,691,377,833,938,139,233,643,764,663,692,722,576,495,843,450,536,359,174
367,749,373,379,69,753,711,81,445,265,405,624,759,814,311,623,228,290,682,195
475,841,833,415,13,809,478,70,191,228,934,760,765,508,398,655,907,850,487,54
198,841,184,84,492,945,429,72,753,572,510,408,827,289,177,559,890,837,987,291
427,198,192,666,319,369,565,861,512,216,81,899,388,761,683,933,529,515,673,674
355,188,827,614,178,600,641,181,915,728,934,526,904,136,74,649,187,77,381,498
751,317,780,190,897,781,65,852,933,69,657,811,517,564,842,877,382,84,56,576
946,839,941,322,409,318,751,850,215,750,394,578,95,284,902,396,409,51,309,938
54,400,54,307,290,665,125,507,220,600,214,405,864,217,763,284,382,820,129,910
722,68,841,521,597,286,722,481,451,145,448,389,61,844,650,487,250,781,149,70
175,323,322,831,857,137,616,686,408,175,709,903,214,917,414,108,367,827,684,593
321,820,388,220,368,137,403,523,914,839,64,724,482,307,284,448,585,208,764,988
86,926,414,213,825,682,473,67,318,144,51,311,814,709,520,687,623,396,949,387
522,369,139,593,122,210,716,906,406,488,681,753,852,189,71,203,51,145,639,412
322,368,18,663,903,574,203,363,391,643,205,474,182,517,855,486,890,315,725,82
60,582,819,529,180,140,570,402,191,594,863,146,614,631,51,593,828,583,184,78
856,622,291,412,503,532,563,217,404,352,349,406,675,277,292,765,748,493,691,626
647,849,636,64,479,715,623,132,322,408,524,385,212,328,289,104,82,689,908,650
197,444,249,763,892,86,775,441,172,664,379,596,910,584,574,376,665,899,174,847
375,906,894,75,895,82,250,367,350,581,912,927,370,888,938,413,109,909,570,481
104,831,565,413,849,533,861,394,361,511,292,573,567,218,832,135,717,851,134,223
847,59,369,147,509,80,184,527,199,430,614,687,621,823,132,787,569,109,665,112
109,983,680,682,191,65,139,643,687,228,828,317,211,784,851,757,672,64,616,173
403,640,763,704,504,381,201,933,144,597,825,79,496,246,783,113,84,650,720,81
356,82,615,375,222,361,182,255,112,845,612,298,891,887,382,839,380,691,405,660
251,535,590,228,181,710,663,485,856,929,389,892,573,247,856,313,679,397,50,850
895,673,675,513,838,181,135,696,599,327,583,720,486,104,691,777,115,536,724,920
519,3,55,711,820,572,614,401,751,664,856,779,726,687,672,415,680,536,481,684
692,781,22,72,586,906,845,356,852,590,777,372,593,579,369,663,619,317,134,138
623,484,723,936,810,940,824,676,362,172,494,864,360,133,402,911,307,634,828,428
899,308,410,558,557,452,69,84,65,5,187,849,493,223,441,349,499,677,67,915
222,758,668,351,782,373,825,839,369,615,904,186,815,379,897,380,863,911,60,981
576,710,508,63,506,888,638,476,626,616,863,494,434,898,715,759,946,208,932,84
495,255,259,810,586,387,804,69,564,73,140,628,890,205,213,363,709,683,401,78
79,582,688,536,114,106,622,289,395,417,786,384,175,55,850,855,327,189,135,254
379,895,255,498,766,523,291,782,944,839,615,687,892,824,479,77,619,359,702,680
250,144,611,936,220,851,509,379,260,821,532,859,79,673,906,624,211,780,349,448
75,643,392,826,139,579,479,618,372,563,823,913,106,286,639,594,455,895,388,776
370,785,939,918,661,841,582,655,678,109,850,673,423,864,290,677,762,834,383,686
19,906,528,475,779,174,519,389,715,816,247,500,350,250,54,897,57,942,369,443
114,684,251,944,56,944,228,217,666,778,650,605,488,284,643,516,754,561,659,938
292,429,906,605,935,88,140,197,721,438,257,590,324,900,325,785,290,522,491,619
249,52,649,558,605,914,494,286,373,132,892,766,709,355,655,321,218,473,906,562
612,908,180,854,475,825,61,516,363,945,896,176,563,763,361,221,847,205,631,112
936,57,379,279,534,211,889,254,198,381,645,764,318,377,619,850,78,750,181,83
413,130,497,366,65,307,255,686,181,368,997,560,781,205,69,863,401,809,829,683
137,227,53,486,826,676,221,896,219,358,981,370,638,528,649,404,482,942,809,676
918,172,942,948,821,911,291,906,393,438,757,702,215,383,178,219,350,894,757,403
