37,6
59,27
7,34
69,29
58,41
3,23
9,31
23,3
13,21
3,6
35,17
27,62
45,67
0,25
17,26
31,11
63,69
65,54
15,15
5,35
7,9
21,21
53,61
33,10
28,13
63,42
5,41
29,67
47,4
64,57
69,60
25,7
69,65
61,39
57,38
65,44
29,65
69,58
1,28
5,11
61,42
16,27
61,35
65,57
39,5
7,45
34,15
11,25
20,15
34,13
39,15
7,32
6,19
63,62
11,69
1,30
27,65
49,68
29,10
23,67
33,70
7,27
41,61
37,12
27,1
63,53
24,1
25,8
32,67
6,27
26,69
40,55
58,25
63,25
47,28
67,42
37,9
33,25
1,23
58,45
52,43
27,5
29,16
9,22
43,49
57,29
33,63
27,19
41,17
59,64
19,20
65,39
51,56
35,69
43,59
65,67
7,33
41,62
61,34
51,70
21,65
1,3
64,41
39,11
61,31
57,48
8,31
57,52
31,69
63,29
29,13
38,61
62,39
62,69
43,61
19,27
6,23
61,44
39,58
13,2
23,23
37,65
15,27
44,61
27,3
19,24
27,9
13,20
53,59
41,13
7,17
56,65
9,18
51,49
9,19
5,15
11,26
65,28
3,2
62,49
45,56
62,59
33,15
29,17
51,46
55,34
67,65
45,65
21,32
51,63
64,65
56,23
12,25
59,25
35,65
25,21
41,51
47,48
34,1
64,27
26,11
54,59
5,8
59,67
35,26
0,19
52,47
5,1
53,47
62,65
11,11
61,29
69,63
47,46
3,14
13,18
49,59
65,59
29,69
21,28
35,66
61,27
65,31
57,25
25,19
53,69
67,68
52,27
21,18
0,7
45,46
16,29
14,29
63,57
62,55
48,37
67,64
43,56
41,10
2,5
49,63
68,69
49,67
7,1
70,53
37,8
3,37
41,55
13,15
41,64
47,53
33,9
17,63
66,33
15,7
47,63
65,51
55,30
19,62
17,18
43,42
19,61
1,15
26,61
64,69
47,66
25,18
69,51
51,69
65,33
19,68
52,51
43,11
11,2
38,67
49,54
41,15
66,67
54,27
43,69
67,35
41,67
6,25
37,19
19,25
21,12
8,5
24,25
5,31
8,23
47,56
21,25
39,62
8,9
35,68
58,57
50,65
46,59
19,23
7,29
69,31
5,21
3,28
39,59
61,67
19,69
1,13
56,59
67,46
59,50
31,15
56,63
45,55
49,55
60,51
16,21
24,61
31,17
69,66
64,55
19,3
7,2
3,11
45,61
21,13
55,51
5,27
41,63
65,66
2,9
17,62
3,32
59,43
53,39
67,53
16,65
25,6
34,11
31,20
10,43
65,40
63,34
53,51
45,44
7,25
56,49
43,6
65,46
67,47
9,3
21,3
5,7
2,3
48,7
5,30
13,23
69,34
53,54
53,62
8,35
61,45
30,1
16,3
68,49
19,2
28,15
9,23
31,12
59,34
29,1
69,59
61,41
58,23
25,69
26,65
14,7
69,64
17,23
68,29
47,55
7,44
19,67
63,67
69,32
65,58
69,56
37,11
44,65
66,35
2,25
23,5
49,57
33,66
19,5
60,27
25,61
30,65
9,39
63,45
24,13
13,33
16,67
47,10
27,11
52,57
7,5
23,68
23,9
47,67
5,9
8,3
67,69
65,48
41,8
59,47
39,66
20,5
49,58
59,62
25,63
17,5
61,33
37,14
15,21
9,1
65,32
56,43
39,14
39,13
25,34
10,27
9,44
1,16
7,12
33,69
5,3
45,13
69,26
37,67
63,52
0,15
61,52
3,17
55,61
69,55
53,65
29,2
59,53
43,7
9,29
45,11
9,40
22,63
69,62
42,15
22,5
49,50
58,61
23,70
45,41
35,20
55,63
3,41
38,7
3,30
3,19
50,49
20,21
25,10
12,9
41,6
6,37
45,59
29,5
67,52
1,29
1,11
69,50
9,35
3,1
42,67
38,3
12,39
65,35
7,20
21,11
60,49
47,69
9,36
51,65
35,18
18,19
1,12
63,47
6,49
12,27
33,18
42,65
59,41
16,5
25,24
13,29
9,2
25,9
43,58
61,56
41,5
17,25
37,7
21,10
30,17
1,21
67,54
6,47
1,25
25,5
60,59
28,5
45,58
45,6
66,49
63,48
65,41
11,29
39,63
7,38
23,57
40,69
58,67
59,69
3,27
43,67
26,1
30,69
47,64
33,13
51,67
7,30
3,8
48,53
17,1
61,43
49,49
16,1
21,62
35,4
7,23
57,47
59,61
59,29
23,6
64,35
19,1
11,17
11,30
17,21
19,21
31,1
45,7
18,5
38,63
27,69
9,43
17,67
59,59
47,62
45,45
7,3
63,43
59,49
43,65
44,63
57,61
11,1
9,17
18,25
26,15
4,37
4,25
41,11
55,53
5,33
22,67
61,53
10,23
37,64
57,46
27,13
33,11
64,51
25,64
8,17
55,49
62,29
21,1
59,23
20,61
32,17
49,41
29,4
7,39
61,54
3,15
67,30
37,61
11,7
61,36
25,14
53,55
53,64
21,67
54,49
45,47
63,35
40,67
49,66
31,3
57,65
