31316,90057,44547
31517,64067,5099
83231,82688,97747
35658,44604,3753
87880,40490,45177
27324,13457,1244
22745,1984,28324
26351,73026,74409
25331,88312,51857
22272,83015,10838
11772,69225,77897
2362,92619,41178
72041,60347,12547
91637,80564,10728
51646,19948,363
64490,99698,80715
35104,61088,60640
75449,86256,69966
99231,82557,31953
57276,54487,12253
79055,17005,74781
25969,25959,62622
91573,81515,99351
77117,2935,15893
44899,2657,90561
56600,35285,94162
20949,22854,67370
68820,54431,92815
19657,12028,96854
38219,30593,82733
14829,69232,94376
31748,4416,59648
93221,66602,57552
94215,41064,78454
33579,68931,83415
79512,83512,93136
19663,74262,30818
65226,8247,21634
18540,86670,10501
7093,43165,20753
86926,78782,10155
11132,99499,57336
34741,33114,97399
78304,39734,28526
81067,94432,55241
58676,93514,53931
34445,23276,78738
83598,66115,24797
58303,72013,84950
85057,99681,49337
72052,35235,7790
54463,62029,32713
46000,26785,62916
2666,49355,44789
78158,42922,3056
94611,44426,64985
28794,2719,58496
9130,13065,23831
24627,68009,71066
80246,69830,71146
20832,95819,27603
26093,31113,27317
5752,23938,47704
39728,25919,4425
23209,98896,41637
35287,9705,14624
18877,1917,89956
86851,53980,76328
46303,14909,35001
52047,5358,79839
45222,96421,67360
8898,4014,487
80303,62323,27390
54353,57575,29919
26094,62986,53397
99840,95730,51599
59,26905,64392
14747,5169,21865
66959,152,93718
47149,472,13364
29578,5812,65817
97383,42687,67773
21821,11476,33088
86235,18378,73480
90323,14386,55540
72330,8690,61711
50818,23152,55116
5565,22984,61764
49882,48632,98383
32681,1380,39956
66395,53474,27950
35886,809,65766
43679,99184,90471
50937,54800,27310
97706,77223,40697
74217,69312,98990
93155,19854,40232
82272,81616,35401
92348,30825,56094
54538,3817,20969
6064,57177,61628
72016,58712,94567
20818,22268,27292
77244,7210,2255
46128,30414,51680
90295,47493,16991
57461,57509,24083
85147,78479,6565
64035,15050,86678
40674,61076,95031
35733,66219,65858
29109,63727,97077
14266,70119,89904
43806,10416,42405
42301,2775,55311
97538,41258,14661
53264,70846,65899
8135,36855,36169
49536,41668,74783
4278,8791,77031
45543,65586,78398
73988,11475,31132
37976,62782,33275
94418,12649,94279
52920,89575,60576
66023,4793,3693
26971,93989,9726
60198,16091,26801
66772,99253,75223
52527,92599,65418
83596,13446,11283
74035,25326,45397
68256,68996,244
84150,14720,35710
86320,8847,73910
75376,29314,13694
82319,38187,61417
44128,78874,13082
73576,97363,57840
66437,13661,53183
79156,48947,2885
66911,48238,63308
49312,59359,98899
20743,53672,79220
83903,54251,8115
81724,51171,94533
62441,67397,46504
21317,99336,99589
79802,50149,15319
76108,48493,1298
37796,65075,63864
73192,31446,38255
41037,34551,15048
95830,16867,85263
49186,88436,60409
70841,87476,7498
53835,75411,51066
50180,96834,46430
75262,26055,31217
5303,45882,78519
84288,82684,44013
53861,86882,48192
24518,87280,64984
20644,84310,50064
20512,87505,19834
41300,78019,98250
13497,25950,58234
44691,30343,47805
58133,97381,98751
48891,39667,27968
12439,38317,7540
36334,40822,94752
50327,93694,6560
92690,21497,60102
63732,87894,97902
90319,38961,20293
6574,85531,27388
20401,96966,11189
32655,79800,29480
91387,17194,47687
83467,17006,68600
88755,73912,4383
67621,16364,27688
1290,61355,46760
63001,21371,45148
92022,52350,62936
52205,72056,25793
25222,50040,19571
91160,18807,77138
30271,47578,97265
96195,66802,42326
36269,37079,16198
45969,2766,93544
73080,81445,90688
83443,34789,57276
27514,88521,49325
98640,56098,33322
15849,1050,73446
14653,52950,15948
18638,45520,88480
14576,79063,67546
91933,22683,61800
21181,35942,13669
16510,46378,95939
38891,10142,40881
49311,41255,31289
97448,29183,79965
33823,13841,99252
11093,32898,54445
9692,49131,10200
94300,49196,40347
15081,94760,42695
28738,10663,15123
40324,91815,82914
21563,72030,76153
30999,99326,89070
14276,90610,37237
2813,55564,11809
36543,51165,77729
48717,95442,51016
53065,1817,53245
22796,49216,42285
6201,31216,29196
1420,63174,69079
44465,12623,21273
2404,60424,86405
57458,92769,20790
94415,45569,53627
9062,52483,82775
82038,47450,67261
4350,26131,39729
40135,60223,5150
1143,76109,45770
36752,69708,96252
17637,51975,86287
98586,73570,88500
389,4145,43716
57572,72516,88902
85736,28601,27513
66690,23590,81397
75019,7760,41489
41669,69014,58788
82358,57256,77355
55648,91197,46315
81011,74718,45646
73705,10869,62919
81638,97102,54857
83618,24375,92383
60059,54177,92460
80660,1148,72016
44706,62613,59010
96862,68825,34639
30207,96194,73519
44652,80440,64244
89887,11314,32786
89146,34799,11052
95982,91638,53094
53784,49604,66966
72943,55885,3969
81279,60280,52083
93821,57763,95305
